year,date,tournament,h_team,a_team,h_elo,a_elo,h_score,a_score,location,neutral
"2,018",June 5,Baltic Cup,Lithuania,Latvia,"1,401","1,361",1,1,in Lithuania,0
"2,018",June 5,Friendly,Luxembourg,Georgia,"1,332","1,507",1,0,in Luxembourg,0
"2,018",June 5,Friendly tournament,Martinique,French Guiana,"1,422","1,376",3,0,in Martinique,0
"2,018",June 5,Friendly tournament,New Zealand,Taiwan,"1,493",985,1,0,in India,1
"2,018",June 5,Friendly,Romania,Finland,"1,720","1,604",2,0,in Romania,0
"2,018",June 5,Friendly,Russia,Turkey,"1,679","1,727",1,1,in Russia,0
"2,018",June 5,COSAFA Cup,South Africa,Namibia,"1,546","1,377",4,1,in South Africa,0
"2,018",June 6,Friendly,Belarus,Hungary,"1,530","1,584",1,1,in Belarus,0
"2,018",June 6,Friendly,Belgium,Egypt,"1,928","1,648",3,0,in Belgium,0
"2,018",June 6,Friendly,Czechia,Nigeria,"1,703","1,694",1,0,in Austria,1
"2,018",June 6,COSAFA Cup,Zimbabwe,Lesotho,"1,444","1,281",0,0,in South Africa,1
"2,018",June 6,Friendly,Norway,Panama,"1,631","1,666",1,0,in Norway,0
"2,018",June 6,COSAFA Cup,Zambia,Madagascar,"1,465","1,378",1,0,in South Africa,1
"2,018",June 7,Friendly,South Korea,Bolivia,"1,730","1,673",0,0,in Austria,1
"2,018",June 7,Friendly,England,Costa Rica,"1,943","1,754",2,0,in England,0
"2,018",June 7,Friendly tournament,French Guiana,Guadeloupe,"1,360","1,257",2,0,in Martinique,1
"2,018",June 7,Friendly,Iceland,Ghana,"1,771","1,639",2,2,in Iceland,0
"2,018",June 7,Friendly tournament,India,New Zealand,"1,196","1,495",1,2,in India,0
"2,018",June 7,Friendly,Portugal,Algeria,"1,968","1,509",3,0,in Portugal,0
"2,018",June 7,Friendly,Uruguay,Uzbekistan,"1,890","1,603",3,0,in Uruguay,0
"2,018",June 8,Friendly,Croatia,Senegal,"1,848","1,740",2,1,in Croatia,0
"2,018",June 8,Friendly,Germany,Saudi Arabia,"2,076","1,586",2,1,in Germany,0
"2,018",June 8,Friendly,Iran,Lithuania,"1,788","1,395",1,0,in Russia,1
"2,018",June 8,Friendly tournament,Kenya,Taiwan,"1,352",983,4,0,in India,1
"2,018",June 8,COSAFA Cup,Madagascar,Lesotho,"1,363","1,290",0,1,in South Africa,1
"2,018",June 8,Friendly,Poland,Chile,"1,831","1,867",2,2,in Poland,0
"2,018",June 8,COSAFA Cup,South Africa,Botswana,"1,558","1,350",3,0,in South Africa,0
"2,018",June 8,Friendly,Switzerland,Japan,"1,885","1,670",2,0,in Switzerland,0
"2,018",June 9,Friendly,Denmark,Mexico,"1,845","1,861",2,0,in Denmark,0
"2,018",June 9,Friendly,Estonia,Morocco,"1,498","1,723",1,3,in Estonia,0
"2,018",June 9,Friendly,Finland,Belarus,"1,597","1,529",2,0,in Finland,0
"2,018",June 9,Friendly,France,United States,"1,994","1,755",1,1,in France,0
"2,018",June 9,Friendly,Hungary,Australia,"1,585","1,732",1,2,in Hungary,0
"2,018",June 9,Friendly,Latvia,Azerbaijan,"1,367","1,384",1,3,in Latvia,0
"2,018",June 9,Friendly,Serbia,Bolivia,"1,764","1,675",5,1,in Austria,1
"2,018",June 9,Friendly,Spain,Tunisia,"2,042","1,658",1,0,in Russia,1
"2,018",June 9,Friendly,Sweden,Peru,"1,794","1,917",0,0,in Sweden,0
"2,018",June 9,Friendly,Chagos Islands,Tuvalu,798,757,1,6,in England,1
"2,018",June 9,COSAFA Cup,Zambia,Zimbabwe,"1,480","1,435",2,4,in South Africa,1
"2,018",June 10,Friendly,Austria,Brazil,"1,747","2,135",0,3,in Austria,0
"2,018",June 10,Friendly tournament,India,Kenya,"1,189","1,358",2,0,in India,0
"2,018",June 11,Friendly,Belgium,Costa Rica,"1,932","1,749",4,1,in Belgium,0
"2,018",June 11,Friendly,Senegal,South Korea,"1,735","1,728",2,0,in Austria,1
"2,018",June 12,Friendly,Paraguay,Japan,"1,746","1,666",2,4,in Austria,1
"2,018",June 12,Friendly,Poland,Lithuania,"1,829","1,393",4,0,in Poland,0
"2,018",June 14,World Cup,Russia,Saudi Arabia,"1,678","1,585",5,0,in Russia,0
